date begin,date end,score,number of words,pos_simple,neg_simple
2014-03-17 00:00:00,2014-03-23 00:00:00,-0.004048283934796409,379,8,6
2014-03-10 00:00:00,2014-03-16 00:00:00,0.02312179031506832,377,6,1
2014-03-03 00:00:00,2014-03-09 00:00:00,-0.0016246577859678315,395,4,13
2014-02-24 00:00:00,2014-03-02 00:00:00,-0.0013614550372150456,543,5,14
2014-02-17 00:00:00,2014-02-23 00:00:00,0.010868883486131027,335,7,9
2014-02-10 00:00:00,2014-02-16 00:00:00,0.027101189477925898,411,7,9
2014-02-03 00:00:00,2014-02-09 00:00:00,0.008281479382259859,438,6,11
2014-01-27 00:00:00,2014-02-02 00:00:00,0.006749098514569587,551,7,20
2014-01-20 00:00:00,2014-01-26 00:00:00,0.008354739111855747,452,3,15
2014-01-13 00:00:00,2014-01-19 00:00:00,0.01293249771309655,488,5,7
2014-01-06 00:00:00,2014-01-12 00:00:00,0.01200789668489313,471,5,3
2013-12-30 00:00:00,2014-01-05 00:00:00,0.015040124162850842,428,6,7
2013-12-23 00:00:00,2013-12-29 00:00:00,0.0032989102738387403,508,5,10
2013-12-16 00:00:00,2013-12-22 00:00:00,0.006430110213033138,398,5,6
2013-12-09 00:00:00,2013-12-15 00:00:00,-0.00043955585744730213,385,1,10
2013-12-02 00:00:00,2013-12-08 00:00:00,0.025250790657604143,430,9,5
2013-11-25 00:00:00,2013-12-01 00:00:00,0.02359501154933626,323,6,2
2013-11-18 00:00:00,2013-11-24 00:00:00,0.0012106857295706745,395,2,11
2013-11-11 00:00:00,2013-11-17 00:00:00,0.004522725954332666,406,2,12
2013-11-04 00:00:00,2013-11-10 00:00:00,0.012918480354045985,441,3,14
2013-10-28 00:00:00,2013-11-03 00:00:00,0.01573775336398461,458,7,4
2013-10-21 00:00:00,2013-10-27 00:00:00,0.01931507874643635,499,6,8
2013-10-14 00:00:00,2013-10-20 00:00:00,0.004597938267781892,437,5,9
2013-10-07 00:00:00,2013-10-13 00:00:00,0.01197553865153503,559,6,11
2013-09-30 00:00:00,2013-10-06 00:00:00,0.013881751709177425,526,10,12
2013-09-23 00:00:00,2013-09-29 00:00:00,0.016355829833944933,477,2,6
2013-09-16 00:00:00,2013-09-22 00:00:00,0.01339458157494175,401,10,8
2013-09-09 00:00:00,2013-09-15 00:00:00,0.03159031906026475,317,3,4
2013-09-02 00:00:00,2013-09-08 00:00:00,-0.0045816973149776456,451,3,12
2013-08-26 00:00:00,2013-09-01 00:00:00,0.01861507680366613,478,5,9
2013-08-19 00:00:00,2013-08-25 00:00:00,0.01118980584887894,449,8,8
2013-08-12 00:00:00,2013-08-18 00:00:00,0.026705979121674737,432,8,15
2013-08-05 00:00:00,2013-08-11 00:00:00,0.010223651061908192,513,4,25
2013-07-29 00:00:00,2013-08-04 00:00:00,0.0030512599564824095,494,4,12
2013-07-22 00:00:00,2013-07-28 00:00:00,0.004889246775236244,487,5,12
2013-07-15 00:00:00,2013-07-21 00:00:00,0.009147993341773802,425,8,2
2013-07-08 00:00:00,2013-07-14 00:00:00,0.021415684097279338,494,11,21
2013-07-01 00:00:00,2013-07-07 00:00:00,0.01846613501607779,470,8,3
2013-06-24 00:00:00,2013-06-30 00:00:00,0.017681347643995995,460,6,12
2013-06-17 00:00:00,2013-06-23 00:00:00,-0.007810083745465201,467,1,19
2013-06-10 00:00:00,2013-06-16 00:00:00,0.015582946078046707,515,3,18
2013-06-03 00:00:00,2013-06-09 00:00:00,0.011796645715276827,601,10,26
2013-05-27 00:00:00,2013-06-02 00:00:00,0.027713945737255795,459,10,7
2013-05-20 00:00:00,2013-05-26 00:00:00,0.004191562135329172,460,3,8
2013-05-13 00:00:00,2013-05-19 00:00:00,0.012845656753695657,579,9,13
2013-05-06 00:00:00,2013-05-12 00:00:00,0.008231071212894346,529,9,15
2013-04-29 00:00:00,2013-05-05 00:00:00,0.005192854441343091,552,6,13
2013-04-22 00:00:00,2013-04-28 00:00:00,0.0036632720659104594,382,3,6
2013-04-15 00:00:00,2013-04-21 00:00:00,0.020789483891375016,489,2,11
